Wall time,Step,Value
1742756580.9268494,9,6.102209568023682
1742756597.3186276,19,5.705676078796387
1742756613.7433295,29,5.486627101898193
1742756630.1639109,39,5.78828763961792
1742756646.6171281,49,5.616975784301758
1742756663.1230493,59,5.307904243469238
1742756679.5940456,69,5.093222141265869
1742756696.083969,79,5.350957870483398
1742756712.5782707,89,5.063666343688965
1742756729.062658,99,5.205933094024658
1742756745.6074042,109,5.209222316741943
1742756762.125275,119,5.179447650909424
1742756778.649448,129,5.100739002227783
1742756795.168846,139,5.073185443878174
1742756811.6902914,149,4.702973365783691
1742756828.2492757,159,4.912518501281738
1742756844.7998738,169,5.012653350830078
1742756861.3557136,179,4.881861209869385
1742756877.9059331,189,4.801966667175293
1742756894.443307,199,4.869279861450195
1742756911.0092144,209,5.1111369132995605
1742756927.5539598,219,4.770486354827881
1742756944.114925,229,4.553348541259766
1742756960.683949,239,4.82063627243042
1742756977.236247,249,4.752307415008545
1742756993.838364,259,4.967066764831543
1742757010.4032176,269,4.679062366485596
1742757026.9641345,279,4.711805820465088
1742757043.5270154,289,4.705200672149658
1742757060.0815985,299,4.573751926422119
1742757076.6749556,309,4.566250801086426
1742757093.2434566,319,4.628538608551025
1742757109.8148189,329,4.472958087921143
1742757126.3786688,339,4.5540595054626465
1742757142.9624677,349,4.520182132720947
1742757159.5744414,359,4.444388389587402
1742757176.1273642,369,4.4760236740112305
1742757192.6673126,379,4.498457908630371
1742757209.1930888,389,4.436858654022217
1742757225.7335038,399,4.5241498947143555
1742757242.3033333,409,4.434576988220215
1742757258.8604558,419,4.301021575927734
1742757275.385665,429,4.779774188995361
1742757291.9212174,439,4.665431976318359
1742757308.4439182,449,4.45335054397583
1742757325.0198596,459,4.077727317810059
1742757341.575154,469,4.19645357131958
1742757358.1211329,479,4.039675235748291
1742757374.67174,489,4.164966106414795
1742757391.218152,499,4.21354341506958
