Wall time,Step,Value
1742756581.0670767,9,6.003872394561768
1742756597.462529,19,5.844050407409668
1742756613.8835232,29,5.732512474060059
1742756630.3030114,39,5.702221870422363
1742756646.7575116,49,5.627695083618164
1742756663.2679157,59,5.671072006225586
1742756679.7351274,69,5.570897579193115
1742756696.2255137,79,5.609103202819824
1742756712.717721,89,5.490777969360352
1742756729.2024043,99,5.655575275421143
1742756745.748855,109,5.631077766418457
1742756762.2664237,119,5.627128601074219
1742756778.7886994,129,5.588974952697754
1742756795.3086367,139,5.639332294464111
1742756811.8326013,149,5.708442211151123
1742756828.3895082,159,5.652819633483887
1742756844.941468,169,5.636623859405518
1742756861.496213,179,5.584332466125488
1742756878.0466442,189,5.63985538482666
1742756894.5844812,199,5.600732803344727
1742756911.1494038,209,5.627785682678223
1742756927.6953216,219,5.436618804931641
1742756944.254688,229,5.661862373352051
1742756960.8246713,239,5.650693893432617
1742756977.37648,249,5.603295803070068
1742756993.9795415,259,5.694272994995117
1742757010.5429044,269,5.752732276916504
1742757027.1044223,279,5.607746601104736
1742757043.6677294,289,5.789706230163574
1742757060.221855,299,5.695470333099365
1742757076.8152983,309,5.648801326751709
1742757093.3837538,319,5.782341957092285
1742757109.9548538,329,5.658450126647949
1742757126.5189428,339,5.674312114715576
1742757143.102521,349,5.6993513107299805
1742757159.715457,359,5.641277313232422
1742757176.2678838,369,5.7440948486328125
1742757192.8076336,379,5.647904396057129
1742757209.334339,389,5.788420677185059
1742757225.8730433,399,5.796351432800293
1742757242.4424741,409,5.718490123748779
1742757258.9996445,419,5.611889362335205
1742757275.5245373,429,5.644192695617676
1742757292.060455,439,5.672609329223633
1742757308.58317,449,5.609631061553955
1742757325.159972,459,5.75829553604126
1742757341.716657,469,5.786306858062744
1742757358.2609212,479,5.864453315734863
1742757374.8128934,489,5.673127174377441
1742757391.3578434,499,5.916570663452148
